subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
42,featuregraph,ann1,148,138,138,10,0,0.9324324324324325,1.0,8.0,38.0
42,featuregraph,ann2,148,138,138,10,0,0.9324324324324325,1.0,9.0,34.0
42,llm_selected_baseline,ann1,138,138,138,0,0,1.0,1.0,6.0,28.0
42,llm_selected_baseline,ann2,138,138,138,0,0,1.0,1.0,7.0,24.0
43,featuregraph,ann1,172,140,139,33,1,0.8081395348837209,0.9928571428571429,15.0,55.0
43,featuregraph,ann2,172,140,137,35,3,0.7965116279069767,0.9785714285714285,17.0,62.0
43,llm_selected_baseline,ann1,140,140,139,1,1,0.9928571428571429,0.9928571428571429,8.0,39.0
43,llm_selected_baseline,ann2,140,140,139,1,1,0.9928571428571429,0.9928571428571429,11.0,46.0
44,featuregraph,ann1,289,132,17,272,115,0.058823529411764705,0.12878787878787878,58.0,63.0
44,featuregraph,ann2,289,132,88,201,44,0.3044982698961938,0.6666666666666666,34.0,62.0
44,llm_selected_baseline,ann1,133,132,0,133,132,0.0,0.0,,
44,llm_selected_baseline,ann2,133,132,130,3,2,0.9774436090225563,0.9848484848484849,18.5,63.0
45,featuregraph,ann1,48,128,3,45,125,0.0625,0.0234375,57.0,62.0
45,featuregraph,ann2,48,128,4,44,124,0.08333333333333333,0.03125,16.5,59.0
45,llm_selected_baseline,ann1,128,128,128,0,0,1.0,1.0,8.0,35.0
45,llm_selected_baseline,ann2,128,128,128,0,0,1.0,1.0,16.5,55.0
46,featuregraph,ann1,288,95,74,214,21,0.2569444444444444,0.7789473684210526,17.0,61.0
46,featuregraph,ann2,288,123,97,191,26,0.3368055555555556,0.7886178861788617,17.0,62.0
46,llm_selected_baseline,ann1,134,95,82,52,13,0.6119402985074627,0.8631578947368421,16.0,61.0
46,llm_selected_baseline,ann2,134,123,113,21,10,0.8432835820895522,0.9186991869918699,13.0,58.0
47,featuregraph,ann1,186,178,178,8,0,0.956989247311828,1.0,12.0,31.0
47,featuregraph,ann2,186,176,176,10,0,0.946236559139785,1.0,12.0,32.0
47,llm_selected_baseline,ann1,178,178,177,1,1,0.9943820224719101,0.9943820224719101,6.0,34.0
47,llm_selected_baseline,ann2,178,176,176,2,0,0.9887640449438202,1.0,6.0,45.0
48,featuregraph,ann1,173,140,132,41,8,0.7630057803468208,0.9428571428571428,20.0,60.0
48,featuregraph,ann2,173,141,132,41,9,0.7630057803468208,0.9361702127659575,21.0,57.0
48,llm_selected_baseline,ann1,144,140,137,7,3,0.9513888888888888,0.9785714285714285,8.0,62.0
48,llm_selected_baseline,ann2,144,141,139,5,2,0.9652777777777778,0.9858156028368794,9.0,30.0
49,featuregraph,ann1,230,139,125,105,14,0.5434782608695652,0.8992805755395683,14.0,62.0
49,featuregraph,ann2,230,138,118,112,20,0.5130434782608696,0.855072463768116,9.0,63.0
49,llm_selected_baseline,ann1,137,139,137,0,2,1.0,0.9856115107913669,8.0,33.0
49,llm_selected_baseline,ann2,137,138,136,1,2,0.9927007299270073,0.9855072463768116,9.0,37.0
50,featuregraph,ann1,126,118,115,11,3,0.9126984126984127,0.9745762711864406,32.0,63.0
50,featuregraph,ann2,126,118,116,10,2,0.9206349206349206,0.9830508474576272,34.0,63.0
50,llm_selected_baseline,ann1,118,118,118,0,0,1.0,1.0,10.0,51.0
50,llm_selected_baseline,ann2,118,118,118,0,0,1.0,1.0,7.0,40.0
51,featuregraph,ann1,158,147,146,12,1,0.9240506329113924,0.9931972789115646,10.0,46.0
51,featuregraph,ann2,158,147,146,12,1,0.9240506329113924,0.9931972789115646,10.0,46.0
51,llm_selected_baseline,ann1,146,147,146,0,1,1.0,0.9931972789115646,8.0,28.0
51,llm_selected_baseline,ann2,146,147,146,0,1,1.0,0.9931972789115646,11.0,30.0
52,featuregraph,ann1,188,148,137,51,11,0.7287234042553191,0.9256756756756757,10.0,63.0
52,featuregraph,ann2,188,148,135,53,13,0.7180851063829787,0.9121621621621622,10.0,63.0
52,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,14.0,33.0
52,llm_selected_baseline,ann2,147,148,147,0,1,1.0,0.9932432432432432,14.0,38.0
53,featuregraph,ann1,217,156,155,62,1,0.7142857142857143,0.9935897435897436,14.0,62.0
53,featuregraph,ann2,217,155,152,65,3,0.7004608294930875,0.9806451612903225,12.0,63.0
53,llm_selected_baseline,ann1,155,156,154,1,2,0.9935483870967742,0.9871794871794872,10.0,47.0
53,llm_selected_baseline,ann2,155,155,155,0,0,1.0,1.0,11.0,37.0
