subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
31.0,138.0,195.0,0.0,333.0,138.0,0.4144144144144144,1.0,156.0,385.0,11.0,29.0,54.0,252.0,2.048,3.864,0.009771499999999989,0.36558899999999994,0.293464571384724,0.9271328246228664,1.3038260869565217,3.2644637681159425,0.8729583650724638,0.890178325942029,0.5500422022908658,0.8389885955728305,60001.0,333.0,151.0,2.0,0.0,156.0,6.0,50.0,-2.048,0.0,-0.293464571384724,183.0
32.0,196.0,204.0,0.0,400.0,196.0,0.49,1.0,77.5,127.0,11.0,22.0,19.0,74.0,1.472,1.9680000000000002,0.01941500000000007,0.18835000000000002,0.2500380054087095,0.42012782637239565,1.0346938775510204,2.4337142857142857,1.6382962551020408,1.6771910714285716,0.6758314398549856,0.9025616805539747,60001.0,400.0,197.0,2.0,0.0,77.5,11.0,-4.0,-1.472,-0.004854999999999943,-0.2500380054087095,203.0
33.0,101.0,109.0,12.0,210.0,113.0,0.48095238095238096,0.8938053097345132,230.0,418.0,6.0,57.0,84.0,361.0,3.112,6.24,0.0,0.79472,0.421850613154961,0.8499783205665559,1.4152079207920794,4.163247524752475,0.9388132403960397,0.9666579344554456,0.29435438450502893,0.7122281556508436,60001.0,211.0,114.0,2.0,0.0,230.0,0.0,83.0,-3.112,0.0,-0.421850613154961,98.0
34.0,136.0,16.0,0.0,152.0,136.0,0.8947368421052632,1.0,194.0,324.0,18.0,32.0,193.0,313.0,0.0239999999999998,3.832,0.00743500000000008,1.0334699999999999,0.15890017144300816,0.7073868235040198,3.3021764705882353,3.4072941176470586,1.0497763970588234,1.073995588235294,0.5139864058510282,0.6817245011479245,60001.0,153.0,142.0,2.0,1.0,194.0,18.0,193.0,0.0,0.0,-0.14884006742601286,11.0
35.0,118.0,26.0,3.0,144.0,121.0,0.8194444444444444,0.9752066115702479,72.5,231.0,37.5,60.0,77.5,252.0,0.08000000000000007,3.128,0.0,0.18279999999999996,0.6069467734580704,0.761738523302496,3.3219829059829062,3.263726495726496,0.9962721525423729,0.9981692372881356,0.2875881493939522,0.8736033603966297,60001.0,145.0,159.0,2.0,0.0,72.5,-37.5,74.0,0.008000000000000007,0.0,-0.6069467734580704,3.0
36.0,147.0,74.0,0.0,221.0,147.0,0.665158371040724,1.0,140.0,311.0,30.0,60.0,97.0,247.0,0.6200000000000001,3.344,0.007770000000000055,0.30679999999999996,0.6103578210301448,0.9779143897996357,1.9059591836734688,3.2481095890410963,0.8191004612244898,0.8287031360544218,0.29561482097457753,0.8995905964959232,60001.0,222.0,147.0,2.0,0.0,140.0,-16.0,96.0,-0.6200000000000001,0.0,-0.6103578210301448,69.0
37.0,146.0,35.0,3.0,181.0,149.0,0.8066298342541437,0.9798657718120806,46.0,289.0,9.0,62.0,45.0,257.0,0.11199999999999966,3.3599999999999994,0.027675000000000005,1.0640100000000001,0.22287661967290578,0.7215996484289167,2.79972602739726,3.143616438356164,1.0320348232876713,1.0744786520547944,0.5175793330218154,0.7732188451815036,60001.0,182.0,153.0,2.0,1.0,46.0,-1.0,43.0,-0.01200000000000001,0.0,-0.22137440316965318,27.0
38.0,123.0,50.0,7.0,173.0,130.0,0.7109826589595376,0.9461538461538461,73.0,447.0,30.0,47.0,72.0,575.0,0.05600000000000005,4.344,0.0,0.37341,0.4577018867577727,0.8206090947017105,3.109573770491803,3.568262295081967,0.9473092341463415,0.9595480650406505,0.3142475922531539,0.7750386949331931,60001.0,174.0,135.0,2.0,1.0,73.0,-29.0,72.0,-0.016000000000000014,0.0,-0.4577018867577727,43.0
39.0,52.0,63.0,2.0,115.0,54.0,0.45217391304347826,0.9629629629629629,71.0,400.0,40.5,58.0,71.0,400.0,0.09200000000000008,3.968,0.0,0.0,0.47775744006960513,0.7930629279954617,4.169846153846153,3.225999999999999,1.0,1.0,0.2232625665732815,0.7428569738002354,60001.0,116.0,180.0,2.0,1.0,71.0,-40.5,71.0,0.06000000000000005,0.0,-0.47775744006960513,7.0
40.0,120.0,46.0,5.0,166.0,125.0,0.7228915662650602,0.96,62.0,327.0,13.0,56.0,61.5,744.0,0.10000000000000009,3.6400000000000006,0.00012215999999998228,0.28756200000000004,0.3353287270355342,0.8385563144502477,3.240933333333333,3.5456,0.9130914895,0.9402964036666667,0.43965937771400565,0.7905728649218439,60001.0,167.0,144.0,2.0,0.0,62.0,-11.0,59.0,-0.02400000000000002,0.0,-0.3353287270355342,28.0
41.0,110.0,18.0,1.0,128.0,111.0,0.859375,0.990990990990991,82.5,377.0,11.0,53.0,72.0,377.0,0.07999999999999985,4.28,0.01222499999999993,0.40098,0.30570241539457543,0.8660633982489307,3.9415999999999993,4.26210909090909,1.4267633636363637,1.4431225,0.5430502831493417,0.8552755818872914,60001.0,128.0,113.0,2.0,1.0,82.5,9.0,72.0,-0.01200000000000001,0.0,-0.30570241539457543,16.0
42.0,137.0,11.0,0.0,148.0,137.0,0.9256756756756757,1.0,157.0,245.0,6.0,16.0,153.0,219.0,0.040000000000000036,3.2640000000000002,0.0,0.01197163999999995,0.31607744107744107,0.6167889618368851,3.2724087591240876,3.4724087591240878,1.0004012557664235,1.0004886400000002,0.48447263438467697,0.8221669081707408,60001.0,148.0,138.0,2.0,0.0,157.0,-6.0,153.0,0.0,0.0,-0.31607744107744107,10.0
43.0,139.0,32.0,0.0,171.0,139.0,0.8128654970760234,1.0,108.0,351.0,13.0,57.0,103.0,202.0,0.11999999999999966,3.912,0.007819999999999938,0.875854,0.2880380923340351,0.9394820634654627,2.784,3.42146762589928,0.9126703028776978,0.9232049575539566,0.5077545972045403,0.8518523068273433,60001.0,172.0,140.0,2.0,0.0,108.0,-11.0,101.0,-0.06400000000000006,0.0,-0.2880380923340351,30.0
44.0,97.0,192.0,35.0,289.0,132.0,0.3356401384083045,0.7348484848484849,213.0,335.0,34.0,63.0,36.0,467.0,2.376,3.9120000000000004,0.0,0.19105799999999995,0.3288702348329806,0.8057117325092155,1.2704329896907218,3.5477938144329895,0.8036548795876289,0.8203215096907217,0.33910039750529664,0.6836639800338327,60001.0,289.0,133.0,2.0,0.0,213.0,-34.0,36.0,-2.376,0.0,-0.3288702348329806,169.0
45.0,3.0,44.0,124.0,47.0,127.0,0.06382978723404255,0.023622047244094488,166.0,173.0,55.0,58.0,578.0,583.0,3.9840000000000004,4.552,0.0045199999999999685,0.009029699999999974,0.8495073545642446,0.8870413114136324,6.386666666666667,3.4266666666666663,0.3225479,0.31803133333333333,0.05078199333356267,0.8950145341704944,60001.0,48.0,128.0,2.0,1.0,166.0,-55.0,578.0,3.9840000000000004,0.0045199999999999685,-0.8495073545642446,42.0
46.0,104.0,183.0,19.0,287.0,123.0,0.3623693379790941,0.8455284552845529,181.0,568.0,18.0,61.0,63.0,507.0,2.6239999999999997,8.152000000000001,0.0,0.4089886399999999,0.45665068706659423,0.9535543260960528,1.4580194174757284,3.60295145631068,0.7998038825000001,0.8371587040384616,0.34326086580519266,0.7480816816702482,60001.0,288.0,134.0,2.0,1.0,181.0,-12.0,54.0,-2.6239999999999997,0.0,-0.45665068706659423,162.0
47.0,172.0,13.0,0.0,185.0,172.0,0.9297297297297298,1.0,66.0,142.0,16.0,25.0,66.0,224.0,0.03999999999999959,1.8479999999999999,0.0036650000000000293,1.0745200000000001,0.2878391489810747,0.5043478260869565,2.680418604651163,2.7142325581395355,1.1394890406976745,1.1654655232558142,0.6365670167143997,0.9302672457602371,60001.0,186.0,178.0,2.0,1.0,66.0,16.0,66.0,0.015999999999999792,0.0,-0.2878391489810747,6.0
48.0,135.0,37.0,6.0,172.0,141.0,0.7848837209302325,0.9574468085106383,65.0,318.0,22.0,62.0,64.0,802.0,0.1120000000000001,4.032,0.0,0.56243,0.29568351216315836,0.7932067932067932,2.981570370370371,3.3031703703703705,0.8982326997037038,0.9231912542222223,0.5684786140673861,0.8849953825696752,60001.0,173.0,144.0,2.0,0.0,65.0,-21.0,63.0,-0.03200000000000003,0.0,-0.29568351216315836,31.0
49.0,122.0,107.0,13.0,229.0,135.0,0.5327510917030568,0.9037037037037037,131.5,289.0,13.0,61.0,71.0,556.0,2.6519999999999997,3.8959999999999995,0.012709999999999999,0.26002,0.6461434493944564,0.9582179713063177,1.4382950819672131,3.4789508196721313,0.5899319999999999,0.6090894508196721,0.26378127738603196,0.877396890557127,60001.0,230.0,137.0,2.0,0.0,131.5,-11.0,70.0,-2.6519999999999997,-0.00195500000000004,-0.6461434493944564,102.0
50.0,116.0,9.0,1.0,125.0,117.0,0.928,0.9914529914529915,73.0,197.0,28.5,62.0,73.0,197.0,0.05600000000000005,3.7199999999999998,0.0,0.03323600000000004,0.43715133558858965,0.6375974780155965,3.835478260869566,4.044382608695653,0.9984157474137931,0.9986601327586206,0.4567880255238652,0.886595176017241,60001.0,126.0,118.0,2.0,1.0,73.0,-28.5,73.0,-0.016000000000000014,0.0,-0.43715133558858965,8.0
51.0,146.0,12.0,0.0,158.0,146.0,0.9240506329113924,1.0,85.5,251.0,9.0,34.0,90.0,212.0,0.06400000000000006,3.528,0.0024400000000000532,0.36919499999999994,0.3627653281387616,0.7786587163778134,3.1720827586206894,3.2579862068965517,0.8568170890410959,0.8757240410958903,0.5418032840477038,0.9195664988732155,60001.0,158.0,146.0,2.0,0.0,85.5,7.0,85.0,-0.008000000000000007,0.0,-0.3627653281387616,4.0
52.0,139.0,48.0,7.0,187.0,146.0,0.7433155080213903,0.952054794520548,143.0,287.0,13.0,62.0,105.0,599.0,0.18800000000000017,3.312,0.014169999999999905,0.36258000000000007,0.39263406940063095,0.9199906293924722,2.435014492753623,3.238782608695652,0.6626101715107915,0.6819275097841727,0.4252825977490117,0.8135211779578368,60001.0,188.0,147.0,2.0,1.0,143.0,3.0,101.0,-0.06800000000000006,0.0,-0.39263406940063095,44.0
53.0,153.0,64.0,0.0,217.0,153.0,0.7050691244239631,1.0,66.0,210.0,14.0,44.0,52.0,203.0,0.2320000000000001,3.648,0.010504999999999987,0.18983000000000005,0.4129004576659039,0.8675594651098576,2.151842105263158,3.097473684210526,0.7456824671895425,0.7617725623529411,0.4510515259548151,0.8820631988654783,60001.0,217.0,155.0,2.0,0.0,66.0,4.0,52.0,-0.19200000000000017,0.0,-0.4129004576659039,55.0
