subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
45,llm_selected_baseline,ann1,128,128,128,0,0,1.0,1.0,8.0,35.0
45,llm_selected_baseline,ann2,128,128,128,0,0,1.0,1.0,16.5,55.0
46,featuregraph,ann1,321,95,82,239,13,0.2554517133956386,0.8631578947368421,17.0,61.0
46,featuregraph,ann2,321,123,108,213,15,0.3364485981308411,0.8780487804878049,14.0,62.0
46,llm_selected_baseline,ann1,134,95,82,52,13,0.6119402985074627,0.8631578947368421,16.0,61.0
46,llm_selected_baseline,ann2,134,123,113,21,10,0.8432835820895522,0.9186991869918699,13.0,58.0
47,featuregraph,ann1,182,178,178,4,0,0.978021978021978,1.0,9.0,56.0
47,featuregraph,ann2,182,176,175,7,1,0.9615384615384616,0.9943181818181818,9.0,48.0
47,llm_selected_baseline,ann1,178,178,177,1,1,0.9943820224719101,0.9943820224719101,6.0,34.0
47,llm_selected_baseline,ann2,178,176,176,2,0,0.9887640449438202,1.0,6.0,45.0
48,featuregraph,ann1,171,140,136,35,4,0.7953216374269005,0.9714285714285714,15.5,53.0
48,featuregraph,ann2,171,141,136,35,5,0.7953216374269005,0.9645390070921985,17.0,51.0
48,llm_selected_baseline,ann1,144,140,137,7,3,0.9513888888888888,0.9785714285714285,8.0,62.0
48,llm_selected_baseline,ann2,144,141,139,5,2,0.9652777777777778,0.9858156028368794,9.0,30.0
49,featuregraph,ann1,193,139,138,55,1,0.7150259067357513,0.9928057553956835,12.0,52.0
49,featuregraph,ann2,193,138,136,57,2,0.7046632124352331,0.9855072463768116,10.0,56.0
49,llm_selected_baseline,ann1,137,139,137,0,2,1.0,0.9856115107913669,8.0,33.0
49,llm_selected_baseline,ann2,137,138,136,1,2,0.9927007299270073,0.9855072463768116,9.0,37.0
50,featuregraph,ann1,136,118,117,19,1,0.8602941176470589,0.9915254237288136,28.0,63.0
50,featuregraph,ann2,136,118,118,18,0,0.8676470588235294,1.0,30.0,63.0
50,llm_selected_baseline,ann1,118,118,118,0,0,1.0,1.0,10.0,51.0
50,llm_selected_baseline,ann2,118,118,118,0,0,1.0,1.0,7.0,40.0
51,featuregraph,ann1,156,147,147,9,0,0.9423076923076923,1.0,11.0,44.0
51,featuregraph,ann2,156,147,147,9,0,0.9423076923076923,1.0,11.0,44.0
51,llm_selected_baseline,ann1,146,147,146,0,1,1.0,0.9931972789115646,8.0,28.0
51,llm_selected_baseline,ann2,146,147,146,0,1,1.0,0.9931972789115646,11.0,30.0
52,featuregraph,ann1,160,148,146,14,2,0.9125,0.9864864864864865,8.0,44.0
52,featuregraph,ann2,160,148,146,14,2,0.9125,0.9864864864864865,7.0,47.0
52,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,14.0,33.0
52,llm_selected_baseline,ann2,147,148,147,0,1,1.0,0.9932432432432432,14.0,38.0
53,featuregraph,ann1,203,156,156,47,0,0.7684729064039408,1.0,14.0,62.0
53,featuregraph,ann2,203,155,155,48,0,0.7635467980295566,1.0,12.0,60.0
53,llm_selected_baseline,ann1,155,156,154,1,2,0.9935483870967742,0.9871794871794872,10.0,47.0
53,llm_selected_baseline,ann2,155,155,155,0,0,1.0,1.0,11.0,37.0
