subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
31.0,138.0,211.0,0.0,349.0,138.0,0.3954154727793696,1.0,145.5,384.0,11.0,31.0,44.5,300.0,2.02,3.888,0.009775000000000034,0.35875400000000013,0.22078837415545344,0.7099879470949305,1.2292753623188404,3.2644637681159425,0.8686657708695652,0.890178325942029,0.6222983085314234,0.8389885955728305,mad,60001,349,151,2,0,145.5,7.0,40.5,-2.02,-0.0004885000000000028,-0.2133007598158782,197
32.0,196.0,140.0,0.0,336.0,196.0,0.5833333333333334,1.0,81.5,131.0,7.0,17.0,31.5,83.0,1.452,1.9999999999999998,2.220446049250313e-16,0.0737899999999998,0.38784492573855944,0.5838155225792676,1.3401632653061224,2.4337142857142857,1.673624642857143,1.6771910714285716,0.5134786683671072,0.9025616805539747,mad,60001,336,197,2,0,81.5,7.0,31.0,-1.452,0.0,-0.38784492573855944,139
33.0,109.0,126.0,4.0,235.0,113.0,0.46382978723404256,0.9646017699115044,228.0,414.0,7.0,48.0,73.0,363.0,3.1759999999999993,6.24,0.0,0.30792,0.38020217716538685,0.8017752032140522,1.3569908256880734,4.213284403669725,0.9527294704587156,0.9685669759633029,0.3437693773482234,0.7115422262052197,mad,60001,236,114,2,0,228.0,4.0,72.0,-3.1759999999999993,0.0,-0.379957088283008,116
34.0,136.0,21.0,0.0,157.0,136.0,0.8662420382165605,1.0,188.5,321.0,21.0,31.0,186.0,310.0,0.016000000000000014,4.048,0.00743500000000008,1.0334699999999997,0.11443998943143568,0.6516767313375306,3.2777058823529415,3.4072941176470586,1.0498857352941178,1.073995588235294,0.5704130419228038,0.6817245011479245,mad,60001,158,142,2,1,188.5,21.0,186.0,0.0,0.0,-0.1058769959509891,16
36.0,147.0,181.0,0.0,328.0,147.0,0.4481707317073171,1.0,148.0,302.0,28.0,55.0,53.0,251.0,2.292,4.032,0.011649999999999938,0.31649700000000003,0.4536476784650595,0.9455189275777759,1.2223673469387755,3.2481095890410963,0.7868304897959183,0.8287031360544218,0.47536171725828097,0.8995905964959232,mad,60001,329,147,2,0,148.0,7.0,42.0,-2.292,0.0,-0.4536476784650595,148
37.0,146.0,37.0,3.0,183.0,149.0,0.7978142076502732,0.9798657718120806,44.0,288.0,9.0,59.0,44.0,228.0,0.10400000000000009,3.3599999999999994,0.027675000000000005,1.0775401000000002,0.20082492617433695,0.8207875457875458,2.8224109589041095,3.143616438356164,1.029928643150685,1.0744786520547944,0.5406672171504291,0.7732188451815036,mad,60001,184,153,2,1,44.0,0.5,42.0,-0.020000000000000018,0.0,-0.1996142908018923,27
38.0,125.0,74.0,5.0,199.0,130.0,0.628140703517588,0.9615384615384616,66.0,330.0,26.0,51.0,67.0,340.0,0.08799999999999997,4.144,0.0,0.8416400000000002,0.3935004609602155,0.7339246119733924,2.8551612903225805,3.5520645161290325,0.9097319824,0.951327224,0.42624342420736466,0.7741473367715334,mad,60001,199,135,2,1,66.0,-26.0,64.0,-0.03600000000000003,0.0,-0.3905913077841636,62
40.0,122.0,55.0,3.0,177.0,125.0,0.6892655367231638,0.976,55.5,321.0,11.0,54.0,55.0,740.0,0.1080000000000001,4.056,0.00012216000000020433,0.287562,0.2868466523901787,0.8153323047031259,3.100327868852459,3.517770491803278,0.9090510634426231,0.934906820327869,0.49527027585151584,0.791945994792657,mad,60001,178,144,2,0,55.5,-6.5,50.5,-0.03200000000000003,2.220446049250313e-16,-0.28652578140402746,38
41.0,110.0,16.0,1.0,126.0,111.0,0.873015873015873,0.990990990990991,84.0,379.0,10.0,55.0,76.5,379.0,0.09199999999999964,4.344,0.014669999999999739,0.4009800000000001,0.32954337851442295,0.765424177020747,3.958618181818182,4.26210909090909,1.4270079090909094,1.4431225,0.5199360997664868,0.8552755818872914,mad,60001,126,113,2,1,84.0,6.5,75.0,-0.016000000000000014,0.0,-0.32954337851442295,14
42.0,137.0,10.0,0.0,147.0,137.0,0.9319727891156463,1.0,141.0,211.0,5.0,20.0,138.0,211.0,0.04800000000000004,2.896,0.0,0.011971639999999839,0.2528740979373949,0.5648526656446943,3.3153284671532846,3.4724087591240878,1.0004012557664235,1.0004886400000002,0.5570403044278422,0.8221669081707408,mad,60001,147,138,2,0,141.0,-3.0,138.0,0.0,0.0,-0.2528740979373949,9
43.0,139.0,35.0,0.0,174.0,139.0,0.7988505747126436,1.0,105.0,347.0,12.0,55.0,98.0,198.0,0.12799999999999967,3.584,0.007819999999999938,0.27077399999999996,0.24225343340288386,0.8502713585434174,2.828086330935252,3.42146762589928,0.9141963244604316,0.9232049575539566,0.5626541121239911,0.8518523068273433,mad,60001,175,140,2,0,105.0,-5.0,95.0,-0.05600000000000005,0.0,-0.24225343340288386,31
44.0,123.0,213.0,9.0,336.0,132.0,0.36607142857142855,0.9318181818181818,174.0,357.0,19.0,59.0,18.0,138.0,2.3600000000000003,3.8960000000000004,1.1102230246251565e-16,0.427559,0.24584187742082486,0.6298563760336573,1.2334308943089431,3.5953170731707313,0.7640506307317074,0.7944177089430896,0.6398997753226036,0.6750727544365223,mad,60001,336,133,2,0,174.0,-12.0,18.0,-2.3600000000000003,0.0,-0.02976150183894044,202
45.0,127.0,110.0,0.0,237.0,127.0,0.5358649789029536,1.0,140.0,341.0,15.0,50.0,66.0,273.0,2.628,3.8480000000000003,0.003009999999999957,0.2663622,0.4576467624086672,0.921363094504049,1.9217637795275588,3.7391111111111117,0.32036996102362214,0.330080512992126,0.46040511707475706,0.9231429052831488,mad,60001,238,128,2,1,140.0,2.0,61.0,-2.628,0.0,-0.4576467624086672,94
46.0,112.0,208.0,11.0,320.0,123.0,0.35,0.9105691056910569,184.0,562.0,17.0,63.0,56.0,503.0,2.856,8.224,1.1102230246251565e-16,0.8406986399999999,0.38341043946677167,0.8135046527299297,1.366198198198198,3.644828828828829,0.7729290644642858,0.8290506571428571,0.4403785158563191,0.7521140148753093,mad,60001,321,134,2,1,184.0,-3.0,46.5,-2.856,0.0,-0.3656581323249739,179
47.0,172.0,9.0,0.0,181.0,172.0,0.9502762430939227,1.0,74.0,162.0,12.0,28.0,74.0,110.0,0.0479999999999996,2.48,0.0033599999999999186,1.0946900000000002,0.35481866361637004,0.9180035237388724,2.6887906976744187,2.7142325581395355,1.143995976744186,1.1654655232558142,0.5624274742868071,0.9302672457602371,mad,60001,182,178,2,1,74.0,12.0,74.0,0.023999999999999577,0.0,-0.35481866361637004,4
48.0,139.0,32.0,2.0,171.0,141.0,0.8128654970760234,0.9858156028368794,61.0,365.0,19.0,61.0,61.0,365.0,0.11999999999999966,3.824,2.220446049250313e-16,0.56243,0.2500939810367152,0.7957208255741776,3.005122302158273,3.318503597122302,0.8861084565467627,0.9094118656115109,0.6146463159632981,0.8816005597059152,mad,60001,171,144,2,0,61.0,-16.0,60.0,-0.03200000000000003,2.220446049250313e-16,-0.2500939810367152,28
49.0,135.0,57.0,0.0,192.0,135.0,0.703125,1.0,59.0,272.0,8.0,43.0,51.0,334.0,0.13199999999999967,4.167999999999999,0.012710000000000055,0.2600199999999999,0.2690821482767791,0.8875119813775161,2.4939259259259257,3.4934328358208955,0.5808555555555556,0.6011080148148148,0.5377799610316553,0.8749562145087745,mad,60001,193,137,2,0,59.0,3.0,50.0,-0.09600000000000009,-0.000980000000000092,-0.2690821482767791,52
50.0,117.0,18.0,0.0,135.0,117.0,0.8666666666666667,1.0,70.0,194.0,25.0,61.0,67.0,194.0,0.07199999999999984,3.4559999999999995,0.0,0.033236000000000154,0.3905201342281879,0.6123397675694549,3.6371034482758615,4.046206896551724,0.9984292880341881,0.9986715846153846,0.5050223760310664,0.8872225676752132,mad,60001,136,118,2,1,70.0,-25.0,67.0,-0.016000000000000014,0.0,-0.3905201342281879,18
51.0,146.0,10.0,0.0,156.0,146.0,0.9358974358974359,1.0,84.0,248.0,10.0,32.0,85.0,207.0,0.06400000000000006,3.552,0.0024400000000000532,0.3154,0.33848088426019585,0.7866030610216657,3.168328767123288,3.2579862068965517,0.8661615753424657,0.8757240410958903,0.5737534016747333,0.9195664988732155,mad,60001,156,146,2,0,84.0,9.5,83.0,-0.008000000000000007,0.0,-0.33848088426019585,5
52.0,145.0,14.0,1.0,159.0,146.0,0.9119496855345912,0.9931506849315068,91.0,258.0,18.0,29.0,86.0,232.0,0.040000000000000036,2.968,0.013929999999999998,0.23088000000000006,0.16836645441186748,0.7846938775510204,3.071277777777778,3.249722222222222,0.6548639575172414,0.6719294128275862,0.666112219917447,0.8155073211286296,mad,60001,160,147,2,1,91.0,18.0,85.0,-0.008000000000000007,0.0,-0.1491942421288065,13
53.0,153.0,50.0,0.0,203.0,153.0,0.7536945812807881,1.0,55.0,213.0,12.0,39.0,47.0,201.0,0.19600000000000017,3.176,0.010504999999999987,0.18983,0.28900000000000003,0.8505782105903835,2.34378947368421,3.097473684210526,0.7457655390849672,0.7617725623529411,0.5390258411842408,0.8820631988654783,mad,60001,203,155,2,0,55.0,7.0,47.0,-0.1319999999999999,-1.1102230246251565e-16,-0.28900000000000003,42
