subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,featuregraph_ambiguous_objects,featuregraph_invalidated_complete_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
11.0,116.0,13.0,0.0,129.0,116.0,0.8992248062015504,1.0,37.0,291.0,15.5,43.0,37.5,163.0,0.14400000000000013,4.192,0.0024399999999999977,0.32519,0.09610029826368105,0.40829315940385036,3.817182608695652,4.039373913043479,0.6896547413793105,0.6960409913793104,0.8277461286359377,0.7756968392156874,envelope_plateau,absolute,60001,133,119,5,4,3,1,-30.5,0.5,-31.0,-0.02400000000000002,0.0,0.05854996325933709,10
12.0,150.0,0.0,0.0,150.0,150.0,1.0,1.0,14.0,38.0,4.0,15.0,14.0,38.0,0.016000000000000014,0.13600000000000012,0.0,0.027371000000000034,0.05356693970724946,0.12740730771818853,3.1692885906040273,3.1696000000000004,0.8542198866666665,0.85309918,0.9437079608712959,0.8913669501198175,envelope_plateau,absolute,60001,150,151,2,1,0,0,-14.0,-3.0,-14.0,0.0,0.0,0.051399738609756274,0
13.0,105.0,136.0,0.0,241.0,105.0,0.43568464730290457,1.0,21.0,2389.0,12.0,55.0,34.0,1328.0,0.3599999999999999,30.48,0.005869999999999986,0.206254,0.13447186961618207,0.7988383446411136,2.5695238095238095,4.477153846153846,0.1682722095238095,0.18245081904761906,0.8217208804700803,0.6876415608076583,envelope_plateau,absolute,60001,246,106,6,5,4,1,-1.0,4.0,-22.0,-0.2959999999999998,-0.0048799999999999955,0.08324904984766146,62
14.0,99.0,63.0,2.0,162.0,101.0,0.6111111111111112,0.9801980198019802,36.0,170.0,20.0,52.0,35.0,135.0,0.30400000000000027,3.64,0.002449999999999841,0.415645,0.10509852987175483,0.43962787661171865,3.2551919191919185,3.745858585858586,0.8213666666666666,0.8602895454545455,0.7656117036525588,0.7162603896320434,envelope_plateau,absolute,60001,165,144,5,4,3,0,35.0,8.0,34.0,-0.07200000000000006,0.0,0.03872181956513032,39
15.0,114.0,24.0,3.0,138.0,117.0,0.8260869565217391,0.9743589743589743,15.0,270.0,13.5,63.0,14.5,458.0,0.16800000000000015,7.6,0.0,0.78973,0.061353656949007185,0.47260211937324514,3.6974736842105265,3.9715789473684207,1.1858823684210527,1.2239940789473687,0.8246269125006201,0.8098222496454892,envelope_plateau,absolute,60001,139,121,3,2,1,0,12.0,0.0,8.0,-0.03600000000000003,0.0,0.007438015042537105,15
16.0,152.0,4.0,0.0,156.0,152.0,0.9743589743589743,1.0,39.0,162.0,4.0,62.0,38.5,72.0,0.016000000000000014,1.9999999999999998,0.0,0.0,0.1078064184475288,0.291549412840333,3.0503311258278147,3.0655364238410594,1.0,1.0,0.9059017885636191,0.842119834616593,envelope_plateau,absolute,60001,157,157,2,1,0,1,32.5,-4.0,31.5,0.0,0.0,0.06646077207432516,1
17.0,137.0,3.0,0.0,140.0,137.0,0.9785714285714285,1.0,31.0,99.0,5.0,26.0,31.0,143.0,0.040000000000000036,2.7119999999999997,0.0,0.0,0.12143574297188753,0.29703413057903694,3.4388823529411767,3.466647058823529,0.983903094890511,0.983903094890511,0.8653744348281478,0.7568408399146592,envelope_plateau,absolute,60001,140,138,2,1,0,1,-30.0,-5.0,-30.0,0.0,0.0,0.11720137030831934,2
18.0,142.0,1.0,0.0,143.0,142.0,0.993006993006993,1.0,40.0,86.0,8.0,12.0,40.0,86.0,0.008000000000000007,2.0,0.0,0.09290999999999994,0.22019083889683616,0.29521772345301756,3.321475177304965,3.3348732394366194,0.5995200704225351,0.5992792253521125,0.9817799078205306,0.8009721788942503,envelope_plateau,absolute,60001,144,144,3,2,1,1,-40.0,8.0,-39.5,0.0,0.0,0.22019083889683616,0
19.0,120.0,92.0,1.0,212.0,121.0,0.5660377358490566,0.9917355371900827,31.0,402.0,9.0,35.0,27.0,552.0,0.21599999999999986,5.696000000000001,0.0018449999999999578,0.26814,0.11608299258156585,0.6352491961414791,2.9465999999999997,3.929066666666666,0.24674895,0.26182664166666664,0.7711050702938674,0.6605685478751189,envelope_plateau,absolute,60001,219,122,9,8,7,0,27.5,5.0,19.0,-0.15600000000000003,0.0,0.08215930763971357,82
20.0,112.0,21.0,2.0,133.0,114.0,0.8421052631578947,0.9824561403508771,13.5,167.0,7.0,46.0,13.5,121.0,0.08800000000000008,2.6959999999999997,0.0,0.13000999999999996,0.054121938930753455,0.25964868876793656,3.703351351351351,3.831071428571429,0.967270967857143,0.9710762517857143,0.8574605202605818,0.8488719831518267,envelope_plateau,absolute,60001,134,128,2,1,0,1,0.5,-3.0,0.0,-0.02400000000000002,0.0,0.01337310293368349,13
