condition,model,subject_id,fold,rows,mae,rmse,r2
physiology_plus_protocol,nori_6m,S17,3,8,3.33912013641603,3.4592611187805358,-108.40788560371898
physiology_plus_protocol,nori_6m,S18,4,8,2.0650760990376877,2.0920343685841445,-2.5012862394698074
physiology_plus_protocol,nori_6m,f01,3,7,1.2150314114364558,1.3373879662236745,-0.5650307506749095
physiology_plus_protocol,nori_6m,f02,2,7,0.8668345965071194,1.0658003193614096,0.15665779216979903
physiology_plus_protocol,nori_6m,f03,1,7,1.7895125364641644,2.1351727653847483,0.2189189714545563
physiology_plus_protocol,nori_6m,f04,4,7,1.2510504251404537,1.5245391150689094,-1.0336920742032065
physiology_plus_protocol,nori_6m,f05,4,7,0.35286029509619493,0.47476809288086946,0.21108340293791727
physiology_plus_protocol,nori_6m,f06,1,7,1.1903530807713385,1.3469503683942852,-0.6462868416843985
physiology_plus_protocol,nori_6m,f08,5,7,2.600436390817591,2.623804843763308,-7.877190553937737
physiology_plus_protocol,nori_6m,f09,3,7,0.826355121192268,1.0328533916298044,-0.00524077502804432
physiology_plus_protocol,nori_6m,f10,1,7,1.084191757519309,1.4572233288765681,-0.5301689953071063
physiology_plus_protocol,nori_6m,f11,4,7,1.6202678675962592,1.9594631984729025,-0.42526746425994855
physiology_plus_protocol,nori_6m,f12,5,7,1.4579531264023606,1.543184769201025,0.3293704461907644
physiology_plus_protocol,nori_6m,f13,2,7,2.4022168148664256,2.672175691861572,-0.1509395509230842
physiology_plus_protocol,nori_6m,f15,2,7,1.1546826412887115,1.4074878149810945,-0.2133759439586571
physiology_plus_protocol,nori_6m,f16,5,7,2.2017447267750443,2.2626448756827187,-0.19456442780576189
physiology_plus_protocol,nori_6m,f17,3,7,1.560861644212551,1.6412399245901552,-4.076529077437163
physiology_plus_protocol,nori_6m,f18,3,7,1.0514924738239018,1.2123971276974168,0.3452233366618329
physiology_plus_protocol,xgboost,S01,1,8,1.313634842634201,1.4025008419338283,-0.023484155642326865
physiology_plus_protocol,xgboost,S03,5,8,0.9265068471431732,1.0282118761366803,-8.666008340374967
physiology_plus_protocol,xgboost,S04,1,8,3.338200092315674,3.6385687336925625,-14.405594100136842
physiology_plus_protocol,xgboost,S05,5,8,0.9260401725769043,1.0401910103937382,-0.08199733810394605
physiology_plus_protocol,xgboost,S06,2,8,1.7926229238510132,1.9621543146850666,-2.2421469933787144
physiology_plus_protocol,xgboost,S07,3,8,3.5716704428195953,3.754651608739545,-6.2760819112312
physiology_plus_protocol,xgboost,S08,1,8,3.049624353647232,3.3419294435563605,-3.3124193904396453
physiology_plus_protocol,xgboost,S09,4,8,1.2345913648605347,1.6090426049672348,-0.534232950873923
physiology_plus_protocol,xgboost,S10,2,8,1.5231664031744003,1.7707406439186195,-6.1669084069150335
physiology_plus_protocol,xgboost,S11,5,8,2.7495749294757843,2.894705371580727,-3.788182393290465
physiology_plus_protocol,xgboost,S12,4,8,4.739679545164108,4.8372562574916955,-14.763569246748673
physiology_plus_protocol,xgboost,S13,3,8,1.1077369153499603,1.2452745668227798,-1.2555763589464175
physiology_plus_protocol,xgboost,S14,2,8,1.6337310075759888,1.69915492072304,-2.8495032594897602
physiology_plus_protocol,xgboost,S15,1,8,1.4046526551246643,1.733347948694852,-5.008990222489302
physiology_plus_protocol,xgboost,S16,2,8,1.2301315069198608,1.542353525992953,-1.144319458382328
physiology_plus_protocol,xgboost,S17,3,8,3.7048866748809814,3.834303334107173,-133.41720738692922
physiology_plus_protocol,xgboost,S18,4,8,1.9948522746562958,2.044555888536193,-2.3441670250784172
physiology_plus_protocol,xgboost,f01,3,7,1.0293964999062675,1.170181311380762,-0.19815876381669995
physiology_plus_protocol,xgboost,f02,2,7,0.38748925072806223,0.4999843632067319,0.8144055483468058
physiology_plus_protocol,xgboost,f03,1,7,1.5609708854130335,1.7625781625859989,0.467736338524382
physiology_plus_protocol,xgboost,f04,4,7,1.2671458721160889,1.3811733509978137,-0.6691848473182134
physiology_plus_protocol,xgboost,f05,4,7,0.34131407737731934,0.3852713917543205,0.4804808414349111
physiology_plus_protocol,xgboost,f06,1,7,1.225308997290475,1.3437380220782371,-0.6384437356844055
physiology_plus_protocol,xgboost,f08,5,7,3.0519451754433766,3.1921050785723883,-12.139137021045633
physiology_plus_protocol,xgboost,f09,3,7,0.7880476883479527,0.9180623539243618,0.2057868115583874
physiology_plus_protocol,xgboost,f10,1,7,0.941140958241054,1.2493435394185828,-0.12473683374795086
physiology_plus_protocol,xgboost,f11,4,7,1.841324840273176,2.2747096459519334,-0.9207643537572101
physiology_plus_protocol,xgboost,f12,5,7,1.3379325866699219,1.807982800183885,0.07947535355013047
physiology_plus_protocol,xgboost,f13,2,7,2.4211108343941823,2.813444520027315,-0.2758487937378773
physiology_plus_protocol,xgboost,f15,2,7,1.4740097863333566,1.7595665545853383,-0.8963456067593829
physiology_plus_protocol,xgboost,f16,5,7,1.953345673424857,2.1496858503404477,-0.07826815953591781
physiology_plus_protocol,xgboost,f17,3,7,1.0891242708478654,1.252146259049585,-1.9548324018669874
physiology_plus_protocol,xgboost,f18,3,7,1.3469916071210588,1.541088057840401,-0.05793334271724215
physiology_plus_protocol,lightgbm,S01,1,8,1.560741503390088,1.7946267421081685,-0.6758036518971209
physiology_plus_protocol,lightgbm,S03,5,8,1.2183430940981388,1.3774051981316677,-16.346240729966983
physiology_plus_protocol,lightgbm,S04,1,8,2.752138536607052,2.9411986335864015,-9.066210213481327
physiology_plus_protocol,lightgbm,S05,5,8,0.8128257807922163,0.9676431806439842,0.06366667495319367
physiology_plus_protocol,lightgbm,S06,2,8,1.714450066285532,1.8860621315386026,-1.995562411809631
physiology_plus_protocol,lightgbm,S07,3,8,3.3183188246458366,3.517232550496623,-5.384993452527989
physiology_plus_protocol,lightgbm,S08,1,8,3.115867824432026,3.40861407796021,-3.4862358713603987
physiology_plus_protocol,lightgbm,S09,4,8,1.3773666760492058,1.720023256589015,-0.7531733352338255
physiology_plus_protocol,lightgbm,S10,2,8,1.5264836965295574,1.719269322674788,-5.756313151749998
physiology_plus_protocol,lightgbm,S11,5,8,2.314560824373721,2.576987725860001,-2.7947804224189134
physiology_plus_protocol,lightgbm,S12,4,8,5.372167393653385,5.47039333828629,-19.16013694353989
physiology_plus_protocol,lightgbm,S13,3,8,0.8950763240393256,1.0545418041533203,-0.6175395152100942
physiology_plus_protocol,lightgbm,S14,2,8,1.238834794177404,1.3268558181770402,-1.3473951496403505
physiology_plus_protocol,lightgbm,S15,1,8,1.6326524555596071,2.0047430982953474,-7.037989780325656
physiology_plus_protocol,lightgbm,S16,2,8,1.3839594139700688,1.7135649976136567,-1.6468101417885666
physiology_plus_protocol,lightgbm,S17,3,8,3.576896785871998,3.7830412733761327,-129.84709738118684
physiology_plus_protocol,lightgbm,S18,4,8,1.947062508673858,2.0281159279106658,-2.2906033736359523
physiology_plus_protocol,lightgbm,f01,3,7,1.2496304399967018,1.3230172520184553,-0.5315778179961568
physiology_plus_protocol,lightgbm,f02,2,7,0.4633651457369584,0.499765960598106,0.8145676552537147
physiology_plus_protocol,lightgbm,f03,1,7,1.532405593854993,1.8022419150099447,0.44351146821427667
physiology_plus_protocol,lightgbm,f04,4,7,1.392586208542076,1.6298053133566635,-1.3242321895149103
physiology_plus_protocol,lightgbm,f05,4,7,0.30139397652816086,0.3562291670902548,0.5558527317996416
physiology_plus_protocol,lightgbm,f06,1,7,1.7392088836024502,1.8467863826313218,-2.0948218001954007
physiology_plus_protocol,lightgbm,f08,5,7,3.3096550716401985,3.5228951822421175,-15.003387704951876
physiology_plus_protocol,lightgbm,f09,3,7,1.1356119898135923,1.3600143070520276,-0.7429289779600794
physiology_plus_protocol,lightgbm,f10,1,7,1.3134998547244119,1.7888822548576093,-1.3059542112570264
physiology_plus_protocol,lightgbm,f11,4,7,1.337076056412194,1.8266119145598303,-0.23855335783473097
physiology_plus_protocol,lightgbm,f12,5,7,1.4561998641392242,1.86931265615801,0.015964594729004467
physiology_plus_protocol,lightgbm,f13,2,7,2.5135857142799667,2.6758623819975687,-0.15411754895426122
physiology_plus_protocol,lightgbm,f15,2,7,1.4256130698129845,1.6601067600302397,-0.6880221035025866
physiology_plus_protocol,lightgbm,f16,5,7,2.0309529511946507,2.1242085824120145,-0.05286115703833372
physiology_plus_protocol,lightgbm,f17,3,7,1.4670112658298837,1.573626877723115,-3.6668759986283614
physiology_plus_protocol,lightgbm,f18,3,7,1.1087624166104588,1.31774308019313,0.22649186868684545
